#OTU ID	SRR19509405	SRR19509407	SRR19509409	SRR19509414	SRR19509421	SRR19509423	SRR19509429	SRR19509433	SRR19509434	SRR19509435
ASV_410	 0	 0	 0	 0	 0	 0	 0	 0	 0	14
ASV_411	 0	 0	 0	 0	 0	 0	 0	 0	 0	14
ASV_412	 0	13	 0	 0	 0	 0	 0	 0	 0	 0
ASV_413	 0	13	 0	 0	 0	 0	 0	 0	 0	 0
ASV_414	 0	 0	13	 0	 0	 0	 0	 0	 0	 0
ASV_415	 0	 0	13	 0	 0	 0	 0	 0	 0	 0
ASV_416	 0	 0	13	 0	 0	 0	 0	 0	 0	 0
ASV_417	 0	 0	13	 0	 0	 0	 0	 0	 0	 0
ASV_418	 0	 0	13	 0	 0	 0	 0	 0	 0	 0
ASV_419	 0	 0	13	 0	 0	 0	 0	 0	 0	 0
ASV_420	 0	 0	 0	 0	13	 0	 0	 0	 0	 0
ASV_421	 0	 0	 0	 0	 0	13	 0	 0	 0	 0
ASV_422	0	0	0	0	0	8	0	0	5	0
ASV_423	 0	 0	 0	 0	 0	 0	13	 0	 0	 0
ASV_424	 0	 0	 0	 0	 0	 0	13	 0	 0	 0
ASV_425	 0	 0	 0	 0	 0	 0	13	 0	 0	 0
ASV_426	 0	 0	 0	 0	 0	 0	13	 0	 0	 0
ASV_427	 0	 0	 0	 0	 0	 0	13	 0	 0	 0
ASV_428	 0	 0	 0	 0	 0	 0	 0	13	 0	 0
ASV_429	 0	 0	 0	 0	 0	 0	 0	13	 0	 0
ASV_430	 0	 0	 0	 0	 0	 0	 0	13	 0	 0
ASV_431	 0	 0	 0	 0	 0	 0	 0	13	 0	 0
ASV_432	 0	 0	 0	 0	 0	 0	 0	13	 0	 0
ASV_433	 0	 0	 0	 0	 0	 0	 0	13	 0	 0
ASV_434	 0	 0	 0	 0	 0	 0	 0	13	 0	 0
ASV_435	 0	 0	 0	 0	 0	 0	 0	13	 0	 0
ASV_436	 0	 0	 0	 0	 0	 0	 0	 0	13	 0
ASV_437	 0	 0	 0	 0	 0	 0	 0	 0	13	 0
ASV_438	 0	 0	 0	 0	 0	 0	 0	 0	13	 0
ASV_439	 0	 0	 0	 0	 0	 0	 0	 0	13	 0
ASV_440	 0	 0	 0	 0	 0	 0	 0	 0	 0	13
ASV_441	 0	 0	 0	 0	 0	 0	 0	 0	 0	13
ASV_442	12	 0	 0	 0	 0	 0	 0	 0	 0	 0
ASV_443	 0	 0	12	 0	 0	 0	 0	 0	 0	 0
ASV_444	 0	 0	12	 0	 0	 0	 0	 0	 0	 0
ASV_445	 0	 0	12	 0	 0	 0	 0	 0	 0	 0
ASV_446	 0	 0	12	 0	 0	 0	 0	 0	 0	 0
ASV_447	 0	 0	12	 0	 0	 0	 0	 0	 0	 0
ASV_448	 0	 0	12	 0	 0	 0	 0	 0	 0	 0
ASV_449	 0	 0	12	 0	 0	 0	 0	 0	 0	 0
ASV_450	 0	 0	12	 0	 0	 0	 0	 0	 0	 0
ASV_451	 0	 0	 0	 0	12	 0	 0	 0	 0	 0
ASV_452	 0	 0	 0	 0	 0	12	 0	 0	 0	 0
ASV_453	 0	 0	 0	 0	 0	12	 0	 0	 0	 0
ASV_454	 0	 0	 0	 0	 0	 0	12	 0	 0	 0
ASV_455	 0	 0	 0	 0	 0	 0	12	 0	 0	 0
ASV_456	 0	 0	 0	 0	 0	 0	12	 0	 0	 0
ASV_457	 0	 0	 0	 0	 0	 0	12	 0	 0	 0
ASV_458	 0	 0	 0	 0	 0	 0	12	 0	 0	 0
ASV_459	 0	 0	 0	 0	 0	 0	12	 0	 0	 0
ASV_460	 0	 0	 0	 0	 0	 0	12	 0	 0	 0
ASV_461	 0	 0	 0	 0	 0	 0	12	 0	 0	 0
ASV_462	 0	 0	 0	 0	 0	 0	12	 0	 0	 0
ASV_463	 0	 0	 0	 0	 0	 0	 0	12	 0	 0
ASV_464	 0	 0	 0	 0	 0	 0	 0	12	 0	 0
ASV_465	 0	 0	 0	 0	 0	 0	 0	12	 0	 0
ASV_466	 0	 0	 0	 0	 0	 0	 0	12	 0	 0
ASV_467	 0	 0	 0	 0	 0	 0	 0	12	 0	 0
ASV_468	 0	 0	 0	 0	 0	 0	 0	 0	12	 0
ASV_469	 0	 0	 0	 0	 0	 0	 0	 0	12	 0
ASV_470	 0	 0	 0	 0	 0	 0	 0	 0	12	 0
ASV_471	 0	 0	 0	 0	 0	 0	 0	 0	12	 0
ASV_472	 0	 0	 0	 0	 0	 0	 0	 0	12	 0
ASV_473	 0	 0	 0	 0	 0	 0	 0	 0	 0	12
ASV_474	 0	 0	 0	 0	 0	 0	 0	 0	 0	12
ASV_475	 0	 0	11	 0	 0	 0	 0	 0	 0	 0
ASV_476	 0	 0	11	 0	 0	 0	 0	 0	 0	 0
ASV_477	 0	 0	11	 0	 0	 0	 0	 0	 0	 0
ASV_478	 0	 0	11	 0	 0	 0	 0	 0	 0	 0
ASV_479	 0	 0	11	 0	 0	 0	 0	 0	 0	 0
ASV_480	 0	 0	11	 0	 0	 0	 0	 0	 0	 0
ASV_481	 0	 0	11	 0	 0	 0	 0	 0	 0	 0
ASV_482	 0	 0	 0	 0	11	 0	 0	 0	 0	 0
ASV_483	 0	 0	 0	 0	11	 0	 0	 0	 0	 0
ASV_484	 0	 0	 0	 0	 0	11	 0	 0	 0	 0
ASV_485	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_486	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_487	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_488	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_489	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_490	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_491	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_492	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_493	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_494	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_495	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_496	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_497	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_498	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_499	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_500	 0	 0	 0	 0	 0	 0	11	 0	 0	 0
ASV_501	 0	 0	 0	 0	 0	 0	 0	11	 0	 0
ASV_502	 0	 0	 0	 0	 0	 0	 0	11	 0	 0
ASV_503	 0	 0	 0	 0	 0	 0	 0	11	 0	 0
ASV_504	 0	 0	 0	 0	 0	 0	 0	11	 0	 0
ASV_505	 0	 0	 0	 0	 0	 0	 0	11	 0	 0
ASV_506	 0	 0	 0	 0	 0	 0	 0	11	 0	 0
ASV_507	 0	 0	 0	 0	 0	 0	 0	11	 0	 0
ASV_508	 0	 0	 0	 0	 0	 0	 0	11	 0	 0
ASV_509	 0	 0	 0	 0	 0	 0	 0	11	 0	 0
ASV_510	 0	 0	 0	 0	 0	 0	 0	 0	11	 0
ASV_511	 0	 0	 0	 0	 0	 0	 0	 0	11	 0
ASV_512	 0	 0	 0	 0	 0	 0	 0	 0	11	 0
ASV_513	 0	 0	 0	 0	 0	 0	 0	 0	11	 0
ASV_514	 0	 0	 0	 0	 0	 0	 0	 0	11	 0
ASV_515	 0	 0	 0	 0	 0	 0	 0	 0	11	 0
ASV_516	 0	 0	 0	 0	 0	 0	 0	 0	 0	11
ASV_517	 0	 0	 0	 0	 0	 0	 0	 0	 0	11
ASV_518	10	 0	 0	 0	 0	 0	 0	 0	 0	 0
ASV_519	 0	 0	10	 0	 0	 0	 0	 0	 0	 0
ASV_520	 0	 0	10	 0	 0	 0	 0	 0	 0	 0
ASV_521	 0	 0	10	 0	 0	 0	 0	 0	 0	 0
ASV_522	 0	 0	10	 0	 0	 0	 0	 0	 0	 0
ASV_523	 0	 0	10	 0	 0	 0	 0	 0	 0	 0
ASV_524	 0	 0	10	 0	 0	 0	 0	 0	 0	 0
ASV_525	 0	 0	10	 0	 0	 0	 0	 0	 0	 0
ASV_526	 0	 0	10	 0	 0	 0	 0	 0	 0	 0
ASV_527	 0	 0	 0	 0	 0	10	 0	 0	 0	 0
ASV_528	 0	 0	 0	 0	 0	10	 0	 0	 0	 0
ASV_529	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_530	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_531	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_532	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_533	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_534	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_535	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_536	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_537	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_538	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_539	 0	 0	 0	 0	 0	 0	10	 0	 0	 0
ASV_540	 0	 0	 0	 0	 0	 0	 0	10	 0	 0
ASV_541	 0	 0	 0	 0	 0	 0	 0	10	 0	 0
ASV_542	 0	 0	 0	 0	 0	 0	 0	10	 0	 0
ASV_543	 0	 0	 0	 0	 0	 0	 0	10	 0	 0
ASV_544	 0	 0	 0	 0	 0	 0	 0	 0	10	 0
ASV_545	 0	 0	 0	 0	 0	 0	 0	 0	10	 0
ASV_546	 0	 0	 0	 0	 0	 0	 0	 0	10	 0
ASV_547	 0	 0	 0	 0	 0	 0	 0	 0	10	 0
ASV_548	 0	 0	 0	 0	 0	 0	 0	 0	10	 0
ASV_549	 0	 0	 0	 0	 0	 0	 0	 0	10	 0
ASV_550	 0	 0	 0	 0	 0	 0	 0	 0	10	 0
ASV_551	 0	 0	 0	 0	 0	 0	 0	 0	 0	10
ASV_552	 0	 0	 0	 0	 0	 0	 0	 0	 0	10
ASV_553	 0	 0	 0	 0	 0	 0	 0	 0	 0	10
ASV_554	 0	 0	 0	 0	 0	 0	 0	 0	 0	10
ASV_555	0	0	9	0	0	0	0	0	0	0
ASV_556	0	0	9	0	0	0	0	0	0	0
ASV_557	0	0	9	0	0	0	0	0	0	0
ASV_558	0	0	9	0	0	0	0	0	0	0
ASV_559	0	0	9	0	0	0	0	0	0	0
ASV_560	0	0	9	0	0	0	0	0	0	0
ASV_561	0	0	9	0	0	0	0	0	0	0
ASV_562	0	0	9	0	0	0	0	0	0	0
ASV_563	0	0	9	0	0	0	0	0	0	0
ASV_564	0	0	9	0	0	0	0	0	0	0
ASV_565	0	0	9	0	0	0	0	0	0	0
ASV_566	0	0	9	0	0	0	0	0	0	0
ASV_567	0	0	9	0	0	0	0	0	0	0
ASV_568	0	0	9	0	0	0	0	0	0	0
ASV_569	0	0	0	0	9	0	0	0	0	0
ASV_570	0	0	0	0	0	9	0	0	0	0
ASV_571	0	0	0	0	0	9	0	0	0	0
ASV_572	0	0	0	0	0	9	0	0	0	0
ASV_573	0	0	0	0	0	9	0	0	0	0
ASV_574	0	0	0	0	0	9	0	0	0	0
ASV_575	0	0	0	0	0	9	0	0	0	0
ASV_576	0	0	0	0	0	9	0	0	0	0
ASV_577	0	0	0	0	0	0	9	0	0	0
ASV_578	0	0	0	0	0	0	9	0	0	0
ASV_579	0	0	0	0	0	0	9	0	0	0
ASV_580	0	0	0	0	0	0	9	0	0	0
ASV_581	0	0	0	0	0	0	9	0	0	0
ASV_582	0	0	0	0	0	0	9	0	0	0
ASV_583	0	0	0	0	0	0	9	0	0	0
ASV_584	0	0	0	0	0	0	9	0	0	0
ASV_585	0	0	0	0	0	0	9	0	0	0
ASV_586	0	0	0	0	0	0	9	0	0	0
ASV_587	0	0	0	0	0	0	9	0	0	0
ASV_588	0	0	0	0	0	0	0	9	0	0
ASV_589	0	0	0	0	0	0	0	9	0	0
ASV_590	0	0	0	0	0	0	0	9	0	0
ASV_591	0	0	0	0	0	0	0	9	0	0
ASV_592	0	0	0	0	0	0	0	9	0	0
ASV_593	0	0	0	0	0	0	0	9	0	0
ASV_594	0	0	0	0	0	0	0	9	0	0
ASV_595	0	0	0	0	0	0	0	9	0	0
ASV_596	0	0	0	0	0	0	0	9	0	0
ASV_597	0	0	0	0	0	0	0	9	0	0
ASV_598	0	0	0	0	0	0	0	9	0	0
ASV_599	0	0	0	0	0	0	0	0	9	0
ASV_600	0	0	0	0	0	0	0	0	9	0
ASV_601	0	0	0	0	0	0	0	0	9	0
ASV_602	0	0	0	0	0	0	0	0	9	0
ASV_603	0	0	0	0	0	0	0	0	9	0
ASV_604	0	0	0	0	0	0	0	0	9	0
ASV_605	0	0	0	0	0	0	0	0	9	0
ASV_606	0	0	0	0	0	0	0	0	9	0
ASV_607	0	0	0	0	0	0	0	0	9	0
ASV_608	0	0	0	0	0	0	0	0	9	0
ASV_609	0	0	0	0	0	0	0	0	9	0
ASV_610	0	0	0	0	0	0	0	0	0	9
ASV_611	0	0	0	0	0	0	0	0	0	9
ASV_612	0	0	0	0	0	0	0	0	0	9
ASV_613	0	0	0	0	0	0	0	0	0	9
ASV_614	0	0	0	0	0	0	0	0	0	9
ASV_615	0	0	0	0	0	0	0	0	0	9
ASV_616	0	0	0	0	0	0	0	0	0	9
ASV_617	0	0	0	0	0	0	0	0	0	9
ASV_618	0	0	0	0	0	0	0	0	0	9
ASV_619	0	0	0	0	0	0	0	0	0	9
ASV_620	0	0	0	0	0	0	0	0	0	9
ASV_621	0	0	0	0	0	0	0	0	0	9
ASV_622	0	8	0	0	0	0	0	0	0	0
ASV_623	0	0	8	0	0	0	0	0	0	0
ASV_624	0	0	8	0	0	0	0	0	0	0
ASV_625	0	0	8	0	0	0	0	0	0	0
ASV_626	0	0	8	0	0	0	0	0	0	0
ASV_627	0	0	8	0	0	0	0	0	0	0
ASV_628	0	0	8	0	0	0	0	0	0	0
ASV_629	0	0	8	0	0	0	0	0	0	0
ASV_630	0	0	0	0	8	0	0	0	0	0
ASV_631	0	0	0	0	8	0	0	0	0	0
ASV_632	0	0	0	0	0	8	0	0	0	0
ASV_633	0	0	0	0	0	8	0	0	0	0
ASV_634	0	0	0	0	0	8	0	0	0	0
ASV_635	0	0	0	0	0	8	0	0	0	0
ASV_636	0	0	0	0	0	8	0	0	0	0
ASV_637	0	0	0	0	0	8	0	0	0	0
ASV_638	0	0	0	0	0	8	0	0	0	0
ASV_639	0	0	0	0	0	8	0	0	0	0
ASV_640	0	0	0	0	0	0	8	0	0	0
ASV_641	0	0	0	0	0	0	8	0	0	0
ASV_642	0	0	0	0	0	0	8	0	0	0
ASV_643	0	0	0	0	0	0	8	0	0	0
ASV_644	0	0	0	0	0	0	8	0	0	0
ASV_645	0	0	0	0	0	0	8	0	0	0
ASV_646	0	0	0	0	0	0	8	0	0	0
ASV_647	0	0	0	0	0	0	8	0	0	0
ASV_648	0	0	0	0	0	0	8	0	0	0
ASV_649	0	0	0	0	0	0	8	0	0	0
ASV_650	0	0	0	0	0	0	0	8	0	0
ASV_651	0	0	0	0	0	0	0	8	0	0
ASV_652	0	0	0	0	0	0	0	8	0	0
ASV_653	0	0	0	0	0	0	0	8	0	0
ASV_654	0	0	0	0	0	0	0	8	0	0
ASV_655	0	0	0	0	0	0	0	8	0	0
ASV_656	0	0	0	0	0	0	0	8	0	0
ASV_657	0	0	0	0	0	0	0	8	0	0
ASV_658	0	0	0	0	0	0	0	8	0	0
ASV_659	0	0	0	0	0	0	0	8	0	0
ASV_660	0	0	0	0	0	0	0	8	0	0
ASV_661	0	0	0	0	0	0	0	8	0	0
ASV_662	0	0	0	0	0	0	0	8	0	0
ASV_663	0	0	0	0	0	0	0	8	0	0
ASV_664	0	0	0	0	0	0	0	8	0	0
ASV_665	0	0	0	0	0	0	0	8	0	0
ASV_666	0	0	0	0	0	0	0	8	0	0
ASV_667	0	0	0	0	0	0	0	0	8	0
ASV_668	0	0	0	0	0	0	0	0	8	0
ASV_669	0	0	0	0	0	0	0	0	8	0
ASV_670	0	0	0	0	0	0	0	0	8	0
ASV_671	0	0	0	0	0	0	0	0	8	0
ASV_672	0	0	0	0	0	0	0	0	8	0
ASV_673	0	0	0	0	0	0	0	0	8	0
ASV_674	0	0	0	0	0	0	0	0	0	8
ASV_675	0	0	0	0	0	0	0	0	0	8
ASV_676	0	0	0	0	0	0	0	0	0	8
ASV_677	0	0	0	0	0	0	0	0	0	8
ASV_678	0	0	0	0	0	0	0	0	0	8
ASV_679	7	0	0	0	0	0	0	0	0	0
ASV_680	0	0	7	0	0	0	0	0	0	0
ASV_681	0	0	7	0	0	0	0	0	0	0
ASV_682	0	0	7	0	0	0	0	0	0	0
ASV_683	0	0	7	0	0	0	0	0	0	0
ASV_684	0	0	7	0	0	0	0	0	0	0
ASV_685	0	0	7	0	0	0	0	0	0	0
ASV_686	0	0	7	0	0	0	0	0	0	0
ASV_687	0	0	7	0	0	0	0	0	0	0
ASV_688	0	0	7	0	0	0	0	0	0	0
ASV_689	0	0	7	0	0	0	0	0	0	0
ASV_690	0	0	7	0	0	0	0	0	0	0
ASV_691	0	0	0	7	0	0	0	0	0	0
ASV_692	0	0	0	0	7	0	0	0	0	0
ASV_693	0	0	0	0	0	7	0	0	0	0
ASV_694	0	0	0	0	0	0	7	0	0	0
ASV_695	0	0	0	0	0	0	7	0	0	0
ASV_696	0	0	0	0	0	0	7	0	0	0
ASV_697	0	0	0	0	0	0	7	0	0	0
ASV_698	0	0	0	0	0	0	7	0	0	0
ASV_699	0	0	0	0	0	0	0	7	0	0
ASV_700	0	0	0	0	0	0	0	7	0	0
ASV_701	0	0	0	0	0	0	0	7	0	0
ASV_702	0	0	0	0	0	0	0	7	0	0
ASV_703	0	0	0	0	0	0	0	7	0	0
ASV_704	0	0	0	0	0	0	0	7	0	0
ASV_705	0	0	0	0	0	0	0	7	0	0
ASV_706	0	0	0	0	0	0	0	7	0	0
ASV_707	0	0	0	0	0	0	0	0	7	0
ASV_708	0	0	0	0	0	0	0	0	7	0
ASV_709	0	0	0	0	0	0	0	0	7	0
ASV_710	0	0	0	0	0	0	0	0	7	0
ASV_711	0	0	0	0	0	0	0	0	7	0
ASV_712	0	0	0	0	0	0	0	0	7	0
ASV_713	0	0	0	0	0	0	0	0	7	0
ASV_714	0	0	0	0	0	0	0	0	7	0
ASV_715	0	0	0	0	0	0	0	0	7	0
ASV_716	0	0	0	0	0	0	0	0	7	0
ASV_717	0	0	0	0	0	0	0	0	7	0
ASV_718	0	0	0	0	0	0	0	0	7	0
ASV_719	0	0	0	0	0	0	0	0	0	7
ASV_720	0	0	0	0	0	0	0	0	0	7
ASV_721	0	0	0	0	0	0	0	0	0	7
ASV_722	0	0	0	0	0	0	0	0	0	7
ASV_723	0	0	0	0	0	0	0	0	0	7
ASV_724	0	0	0	0	0	0	0	0	0	7
ASV_725	0	0	0	0	0	0	0	0	0	7
ASV_726	0	0	6	0	0	0	0	0	0	0
ASV_727	0	0	6	0	0	0	0	0	0	0
ASV_728	0	0	6	0	0	0	0	0	0	0
ASV_729	0	0	6	0	0	0	0	0	0	0
ASV_730	0	0	6	0	0	0	0	0	0	0
ASV_731	0	0	6	0	0	0	0	0	0	0
ASV_732	0	0	6	0	0	0	0	0	0	0
ASV_733	0	0	6	0	0	0	0	0	0	0
ASV_734	0	0	6	0	0	0	0	0	0	0
ASV_735	0	0	6	0	0	0	0	0	0	0
ASV_736	0	0	6	0	0	0	0	0	0	0
ASV_737	0	0	6	0	0	0	0	0	0	0
ASV_738	0	0	0	6	0	0	0	0	0	0
ASV_739	0	0	0	0	6	0	0	0	0	0
ASV_740	0	0	0	0	6	0	0	0	0	0
ASV_741	0	0	0	0	0	6	0	0	0	0
ASV_742	0	0	0	0	0	6	0	0	0	0
ASV_743	0	0	0	0	0	6	0	0	0	0
ASV_744	0	0	0	0	0	6	0	0	0	0
ASV_745	0	0	0	0	0	0	6	0	0	0
ASV_746	0	0	0	0	0	0	6	0	0	0
ASV_747	0	0	0	0	0	0	6	0	0	0
ASV_748	0	0	0	0	0	0	6	0	0	0
ASV_749	0	0	0	0	0	0	6	0	0	0
ASV_750	0	0	0	0	0	0	6	0	0	0
ASV_751	0	0	0	0	0	0	6	0	0	0
ASV_752	0	0	0	0	0	0	6	0	0	0
ASV_753	0	0	0	0	0	0	6	0	0	0
ASV_754	0	0	0	0	0	0	6	0	0	0
ASV_755	0	0	0	0	0	0	6	0	0	0
ASV_756	0	0	0	0	0	0	6	0	0	0
ASV_757	0	0	0	0	0	0	6	0	0	0
ASV_758	0	0	0	0	0	0	6	0	0	0
ASV_759	0	0	0	0	0	0	6	0	0	0
ASV_760	0	0	0	0	0	0	0	6	0	0
ASV_761	0	0	0	0	0	0	0	6	0	0
ASV_762	0	0	0	0	0	0	0	6	0	0
ASV_763	0	0	0	0	0	0	0	6	0	0
ASV_764	0	0	0	0	0	0	0	6	0	0
ASV_765	0	0	0	0	0	0	0	6	0	0
ASV_766	0	0	0	0	0	0	0	6	0	0
ASV_767	0	0	0	0	0	0	0	6	0	0
ASV_768	0	0	0	0	0	0	0	6	0	0
ASV_769	0	0	0	0	0	0	0	6	0	0
ASV_770	0	0	0	0	0	0	0	6	0	0
ASV_771	0	0	0	0	0	0	0	6	0	0
ASV_772	0	0	0	0	0	0	0	6	0	0
ASV_773	0	0	0	0	0	0	0	6	0	0
ASV_774	0	0	0	0	0	0	0	6	0	0
ASV_775	0	0	0	0	0	0	0	6	0	0
ASV_776	0	0	0	0	0	0	0	6	0	0
ASV_777	0	0	0	0	0	0	0	0	6	0
ASV_778	0	0	0	0	0	0	0	0	6	0
ASV_779	0	0	0	0	0	0	0	0	6	0
ASV_780	0	0	0	0	0	0	0	0	6	0
ASV_781	0	0	0	0	0	0	0	0	6	0
ASV_782	0	0	0	0	0	0	0	0	6	0
ASV_783	0	0	0	0	0	0	0	0	6	0
ASV_784	0	0	0	0	0	0	0	0	6	0
ASV_785	0	0	0	0	0	0	0	0	6	0
ASV_786	0	0	0	0	0	0	0	0	6	0
ASV_787	0	0	0	0	0	0	0	0	6	0
ASV_788	0	0	0	0	0	0	0	0	6	0
ASV_789	0	0	0	0	0	0	0	0	6	0
ASV_790	0	0	0	0	0	0	0	0	0	6
ASV_791	0	0	0	0	0	0	0	0	0	6
ASV_792	0	0	0	0	0	0	0	0	0	6
ASV_793	0	0	0	0	0	0	0	0	0	6
ASV_794	0	0	0	0	0	0	0	0	0	6
ASV_795	0	0	0	0	0	0	0	0	0	6
ASV_796	0	0	0	0	0	0	0	0	0	6
ASV_797	0	0	0	0	0	0	0	0	0	6
ASV_798	0	0	0	0	0	0	0	0	0	6
ASV_799	0	5	0	0	0	0	0	0	0	0
ASV_800	0	5	0	0	0	0	0	0	0	0
ASV_801	0	0	5	0	0	0	0	0	0	0
ASV_802	0	0	5	0	0	0	0	0	0	0
ASV_803	0	0	5	0	0	0	0	0	0	0
ASV_804	0	0	5	0	0	0	0	0	0	0
ASV_805	0	0	5	0	0	0	0	0	0	0
ASV_806	0	0	5	0	0	0	0	0	0	0
ASV_807	0	0	5	0	0	0	0	0	0	0
ASV_808	0	0	0	5	0	0	0	0	0	0
ASV_809	0	0	0	5	0	0	0	0	0	0
ASV_810	0	0	0	0	5	0	0	0	0	0
ASV_811	0	0	0	0	5	0	0	0	0	0
ASV_812	0	0	0	0	5	0	0	0	0	0
ASV_813	0	0	0	0	5	0	0	0	0	0
ASV_814	0	0	0	0	0	5	0	0	0	0
ASV_815	0	0	0	0	0	0	5	0	0	0
ASV_816	0	0	0	0	0	0	5	0	0	0
ASV_817	0	0	0	0	0	0	5	0	0	0
ASV_818	0	0	0	0	0	0	5	0	0	0
ASV_819	0	0	0	0	0	0	5	0	0	0
ASV_820	0	0	0	0	0	0	5	0	0	0
ASV_821	0	0	0	0	0	0	5	0	0	0
ASV_822	0	0	0	0	0	0	5	0	0	0
ASV_823	0	0	0	0	0	0	0	5	0	0
ASV_824	0	0	0	0	0	0	0	5	0	0
ASV_825	0	0	0	0	0	0	0	5	0	0
ASV_826	0	0	0	0	0	0	0	5	0	0
ASV_827	0	0	0	0	0	0	0	5	0	0
ASV_828	0	0	0	0	0	0	0	5	0	0
ASV_829	0	0	0	0	0	0	0	5	0	0
ASV_830	0	0	0	0	0	0	0	5	0	0
ASV_831	0	0	0	0	0	0	0	5	0	0
ASV_832	0	0	0	0	0	0	0	5	0	0
ASV_833	0	0	0	0	0	0	0	5	0	0
ASV_834	0	0	0	0	0	0	0	5	0	0
ASV_835	0	0	0	0	0	0	0	5	0	0
ASV_836	0	0	0	0	0	0	0	5	0	0
ASV_837	0	0	0	0	0	0	0	5	0	0
ASV_838	0	0	0	0	0	0	0	0	5	0
ASV_839	0	0	0	0	0	0	0	0	5	0
ASV_840	0	0	0	0	0	0	0	0	5	0
ASV_841	0	0	0	0	0	0	0	0	5	0
ASV_842	0	0	0	0	0	0	0	0	5	0
ASV_843	0	0	0	0	0	0	0	0	5	0
ASV_844	0	0	0	0	0	0	0	0	5	0
ASV_845	0	0	0	0	0	0	0	0	0	5
ASV_846	0	0	0	0	0	0	0	0	0	5
ASV_847	0	0	4	0	0	0	0	0	0	0
ASV_848	0	0	4	0	0	0	0	0	0	0
ASV_849	0	0	4	0	0	0	0	0	0	0
ASV_850	0	0	4	0	0	0	0	0	0	0
ASV_851	0	0	4	0	0	0	0	0	0	0
ASV_852	0	0	4	0	0	0	0	0	0	0
ASV_853	0	0	4	0	0	0	0	0	0	0
ASV_854	0	0	0	0	4	0	0	0	0	0
ASV_855	0	0	0	0	4	0	0	0	0	0
ASV_856	0	0	0	0	0	4	0	0	0	0
ASV_857	0	0	0	0	0	4	0	0	0	0
ASV_858	0	0	0	0	0	0	4	0	0	0
ASV_859	0	0	0	0	0	0	4	0	0	0
ASV_860	0	0	0	0	0	0	4	0	0	0
ASV_861	0	0	0	0	0	0	4	0	0	0
ASV_862	0	0	0	0	0	0	4	0	0	0
ASV_863	0	0	0	0	0	0	4	0	0	0
ASV_864	0	0	0	0	0	0	4	0	0	0
ASV_865	0	0	0	0	0	0	4	0	0	0
ASV_866	0	0	0	0	0	0	4	0	0	0
ASV_867	0	0	0	0	0	0	4	0	0	0
ASV_868	0	0	0	0	0	0	4	0	0	0
ASV_869	0	0	0	0	0	0	0	4	0	0
ASV_870	0	0	0	0	0	0	0	4	0	0
ASV_871	0	0	0	0	0	0	0	4	0	0
ASV_872	0	0	0	0	0	0	0	4	0	0
ASV_873	0	0	0	0	0	0	0	4	0	0
ASV_874	0	0	0	0	0	0	0	4	0	0
ASV_875	0	0	0	0	0	0	0	4	0	0
ASV_876	0	0	0	0	0	0	0	4	0	0
ASV_877	0	0	0	0	0	0	0	4	0	0
ASV_878	0	0	0	0	0	0	0	4	0	0
ASV_879	0	0	0	0	0	0	0	0	4	0
ASV_880	0	0	0	0	0	0	0	0	4	0
ASV_881	0	0	0	0	0	0	0	0	4	0
ASV_882	0	0	0	0	0	0	0	0	0	4
ASV_883	0	0	0	0	0	0	0	0	0	4
ASV_884	0	0	0	0	0	0	0	0	0	4
ASV_885	0	0	0	0	0	0	0	0	0	4
ASV_886	3	0	0	0	0	0	0	0	0	0
ASV_887	0	3	0	0	0	0	0	0	0	0
ASV_888	0	0	3	0	0	0	0	0	0	0
ASV_889	0	0	3	0	0	0	0	0	0	0
ASV_890	0	0	3	0	0	0	0	0	0	0
ASV_891	0	0	3	0	0	0	0	0	0	0
ASV_892	0	0	0	0	0	3	0	0	0	0
ASV_893	0	0	0	0	0	3	0	0	0	0
ASV_894	0	0	0	0	0	3	0	0	0	0
